step,time,rmse_analysis,rmse_innov
1,0.1,0.004746965954168521,0.008666734442690444
2,0.2,0.007364118680741098,0.012799418950075567
3,0.30000000000000004,0.009224233713348972,0.01888023397211398
4,0.4,0.005567354439752714,0.010158833989640525
5,0.5,0.006132845919631416,0.010649211142483905
